10MeV,,30MeV,,50MeV,,70MeV,,90MeV,
X,Y,X,Y,X,Y,X,Y,X,Y
20,0.08296206731229072,20,0.014566509323041182,19.996947720557728,0.008295085160017816,20,0.006318763139359652,20,0.0050448487828983445
40,0.517022665920126,39.99999999999997,0.02264319796769887,40,0.012173852044847349,39.99999999999997,0.00862160490596583,40,0.006262740252897257
60,0.3560980229390636,60,0.03187671327862382,60,0.015819640362541854,60.00000000000003,0.01068837066727323,60.00000000000003,0.008348454157042568
,,80,0.04520960675463006,79.99816863233463,0.020377920474433254,79.99999999999997,0.01394060495647053,79.99999999999997,0.011077966590207445
,,100,0.07181950837094714,99.99725294850191,0.026796951714634684,100,0.01595505561867085,100,0.013108822890830096
,,120.00000000000003,0.11569021589642109,119.99725294850194,0.032966155827009104,120,0.020632499600727373,119.99755817644618,0.014423132427911035
,,140.00000000000003,0.19504600000399852,139.99664249261352,0.04201899728999664,140,0.024800190310882275,140.00000000000003,0.017264100229210294
,,160,0.2890772969164514,159.99816863233463,0.05225814976429791,160,0.029758283002346855,160,0.02164040689798077
,,180,0.19808882517970733,179.99694772055767,0.06729748895661693,179.99999999999994,0.034115985717660724,180,0.022788812237468172
,,200.24357189949444,0.013521225094985247,200.00000000000006,0.08278783315978759,199.99999999999994,0.039720564858545616,200,0.028006381527147784
,,,,219.99603203672507,0.10590309693235186,220,0.04647090105803468,220,0.031797376839462044
,,,,239.99633726466925,0.12931513385546095,240,0.053791685288373706,240,0.0342390710174219
,,,,259.9966424926135,0.15241966945753974,259.99999999999994,0.061369759979716186,260,0.039554948676762264
,,,,279.9963372646692,0.14416019517744535,280,0.07077352113145918,279.99999999999994,0.04186595222225738
,,,,300.0021365956097,0.08863116931557898,300.00000000000006,0.07920414918050546,300.00000000000006,0.04832476742236169
,,,,319.99877908822316,0.020435133507557258,320.00000000000006,0.08743537325634879,320.00000000000006,0.053296729343939586
,,,,339.9969477205577,0.0007683860560535517,339.99999999999994,0.0921101149508827,340,0.05673759259888318
,,,,,,360.00000000000006,0.095753890232167,360.00000000000006,0.06169253318970972
,,,,,,380,0.09080768290223813,380.00000000000006,0.06514058162408955
,,,,,,400.00000000000006,0.06934792793631099,400.00000000000006,0.06911644005348155
,,,,,,420.00000000000017,0.03780587417355755,420.00000000000006,0.06855335514885373
,,,,,,440.00000000000006,0.013067816007075876,439.99725294850197,0.06957607027541915
,,,,,,459.99999999999994,0.0016788247843941549,460.00000000000006,0.06382877441542172
,,,,,,,,480.00000000000017,0.05458571194783
,,,,,,,,500.00000000000006,0.04681823827058337
,,,,,,,,520.0000000000002,0.03160406321181876
,,,,,,,,540,0.017895280447071053
,,,,,,,,560,0.006306413211451291
,,,,,,,,579.9972529485021,0.0012695567224066844
,,,,,,,,600.0024418235539,0.0001279294729686298
